,adult_families_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,date_of_census,families_with_children_in_shelter,individuals_in_adult_families_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,total_individuals_in_shelter,total_single_adults_in_shelter,individuals_in_shelter
0,1796,14607,21314,2013-08-21T00:00:00.000,10261,3811.0,7231,2710,28359,21314,35921,49673,9941,
1,1803,14622,21324,2013-08-22T00:00:00.000,10274,3827.0,7201,2716,28366,21324,35946,49690,9917,
2,1802,14611,21291,2013-08-23T00:00:00.000,10266,3826.0,7149,2671,28257,21291,35902,49548,9820,
3,1801,14650,21343,2013-08-24T00:00:00.000,10291,3824.0,7110,2690,28274,21343,35993,49617,9800,
4,1804,14694,21400,2013-08-25T00:00:00.000,10324,3830.0,7230,2704,28458,21400,36094,49858,9934,
5,1809,14688,21392,2013-08-26T00:00:00.000,10307,3841.0,7252,2704,28485,21392,36080,49877,9956,
6,1813,14640,21322,2013-08-27T00:00:00.000,10277,3852.0,7209,2713,28414,21322,35962,49736,9922,
7,1803,14647,21325,2013-08-28T00:00:00.000,10284,3831.0,7229,2721,28428,21325,35972,49753,9950,
8,1807,14696,21412,2013-08-29T00:00:00.000,10316,3840.0,7151,2709,28396,21412,36108,49808,9860,
9,1811,14651,21343,2013-08-30T00:00:00.000,10281,3846.0,7032,2653,28182,21343,35994,49525,9685,
10,1815,14662,21335,2013-08-31T00:00:00.000,10287,3855.0,6949,2661,28127,21335,35997,49462,9610,
11,1822,14719,21403,2013-09-01T00:00:00.000,10326,3871.0,6997,2672,28259,21403,36122,49662,9669,
12,1823,14704,21404,2013-09-02T00:00:00.000,10319,3872.0,7094,2707,28377,21404,36108,49781,9801,
13,1811,14683,21372,2013-09-04T00:00:00.000,10303,3845.0,7110,2741,28379,21372,36055,49751,9851,
14,1811,14681,21410,2013-09-06T00:00:00.000,10306,3845.0,7088,2723,28337,21410,36091,49747,9811,
15,1821,14757,21502,2013-09-07T00:00:00.000,10354,3866.0,7056,2731,28410,21502,36259,49912,9787,
16,1824,14785,21555,2013-09-08T00:00:00.000,10377,3873.0,7156,2588,28402,21555,36340,49957,9744,
17,1823,14798,21566,2013-09-09T00:00:00.000,10384,3870.0,7145,2744,28557,21566,36364,50123,9889,
18,1826,14805,21577,2013-09-10T00:00:00.000,10394,3877.0,7147,2743,28572,21577,36382,50149,9890,
19,1829,14804,21571,2013-09-11T00:00:00.000,10387,3881.0,7166,2729,28580,21571,36375,50151,9895,
20,1824,14842,21653,2013-09-12T00:00:00.000,10423,3871.0,7124,2750,28587,21653,36495,50240,9874,
21,1825,14835,21662,2013-09-13T00:00:00.000,10417,3872.0,7106,2743,28556,21662,36497,50218,9849,
22,1816,14853,21694,2013-09-14T00:00:00.000,10428,3853.0,7098,2752,28556,21694,36547,50250,9850,
23,1819,14918,21767,2013-09-15T00:00:00.000,10471,3860.0,7222,2773,28773,21767,36685,50540,9995,
24,1836,14911,21725,2013-09-16T00:00:00.000,10455,3895.0,7222,2773,28801,21725,36636,50526,9995,
25,1819,14878,21697,2013-09-17T00:00:00.000,10439,3862.0,7221,2794,28755,21697,36575,50452,10015,
26,1816,14871,21663,2013-09-18T00:00:00.000,10435,3856.0,7277,2783,28787,21663,36534,50450,10060,
27,1824,14893,21695,2013-09-19T00:00:00.000,10455,3871.0,7172,2783,28719,21695,36588,50414,9955,
28,1817,14883,21705,2013-09-20T00:00:00.000,10453,3854.0,7185,2751,28673,21705,36588,50378,9936,
29,1816,14840,21663,2013-09-21T00:00:00.000,10426,3852.0,7189,2738,28619,21663,36503,50282,9927,
30,1822,14883,21710,2013-09-22T00:00:00.000,10457,3864.0,7227,2777,28751,21710,36593,50461,10004,
31,1830,14912,21734,2013-09-23T00:00:00.000,10465,3881.0,7280,2801,28874,21734,36646,50608,10081,
32,1828,14882,21675,2013-09-24T00:00:00.000,10440,3881.0,7305,2782,28850,21675,36557,50525,10087,
33,1832,14894,21721,2013-09-25T00:00:00.000,10453,3887.0,7295,2787,28863,21721,36615,50584,10082,
34,1836,14934,21804,2013-09-26T00:00:00.000,10483,3896.0,7287,2771,28888,21804,36738,50692,10058,
35,1838,14905,21757,2013-09-27T00:00:00.000,10465,3900.0,7185,2739,28729,21757,36662,50486,9924,
36,1829,14910,21746,2013-09-28T00:00:00.000,10462,3882.0,7178,2718,28688,21746,36656,50434,9896,
37,1837,14927,21780,2013-09-29T00:00:00.000,10480,3900.0,7264,2724,28815,21780,36707,50595,9988,
38,1843,14931,21786,2013-09-30T00:00:00.000,10471,3912.0,7275,2742,28860,21786,36717,50646,10017,
39,1838,14869,21734,2013-10-01T00:00:00.000,10438,3899.0,7129,2684,28581,21734,36603,50315,9813,
40,1845,14916,21768,2013-10-02T00:00:00.000,10469,3913.0,7073,2681,28583,21768,36684,50351,9754,
41,1842,14944,21818,2013-10-04T00:00:00.000,10488,3906.0,6999,2672,28521,21818,36762,50339,9671,
42,1839,14928,21817,2013-10-05T00:00:00.000,10483,3901.0,7012,2666,28507,21817,36745,50324,9678,
43,1847,14998,21890,2013-10-06T00:00:00.000,10531,3916.0,7092,2685,28691,21890,36888,50581,9777,
44,1849,14989,21870,2013-10-07T00:00:00.000,10517,3919.0,7133,2726,28767,21870,36859,50637,9859,
